zipcode,nom,credits,link photo,idmailchimp,valuemailchimp
Paris 10e,Saint Martin,Marché Saint-Quentin par Lionel Allorge,https://commons.wikimedia.org/wiki/File:March%C3%A9_Saint-Quentin_%C3%A0_Paris_le_17_juillet_2015_-_11.jpg,0,1
Paris 16e,Passy,Pont de Bir-Hakeim par Biker Normand,https://flic.kr/p/yhv3LS,2,8
Paris 12e,Aligre,Marché d'Aligre par Jésus Gorriti,https://flic.kr/p/5v7rs8,3,2
Paris 13e,Tolbiac,BNF par art Buck,https://flic.kr/p/5jwr7f,4,16
Paris 1er,Montorgueil,Rue Montorgueil par Minato ku,https://commons.wikimedia.org/wiki/File:RueMontorgueil.JPG,5,32
Paris 2e,Montorgueil,Rue Montorgueil par Minato ku,https://commons.wikimedia.org/wiki/File:RueMontorgueil.JPG,5,32
Paris 3e,Bretagne,Rue de Bretagne par besopha,https://commons.wikimedia.org/wiki/File%3ARue_de_Bretagne%2C_75003_Paris%2C_2015.jpg,6,64
Paris 4e,Bretagne,Rue de Bretagne par besopha,https://commons.wikimedia.org/wiki/File%3ARue_de_Bretagne%2C_75003_Paris%2C_2015.jpg,6,64
Paris 5e,Monge,Rue Mouffetard par LPLT,https://commons.wikimedia.org/wiki/File%3ARue_Mouffetard.JPG,7,128
Paris 6e,Saint Germain,Eglise St Germain des Prés par Connie Ma,https://flic.kr/p/osfgn8,8,256
Paris 7e,Saint Dominique,Rue Saint-Dominique parwolfB1958,https://flic.kr/p/aFdNLe,9,512
Paris 19e,Secrétan,Bassin de la Villette par ErasmusOfParis,https://flic.kr/p/oay45s,10,1024
Paris 20e,Pyrénées,La campagne à Paris par Jean-François Gomet,https://commons.wikimedia.org/wiki/File%3ARue_Ir%C3%A9n%C3%A9e_Blanc_July_5%2C_2012.jpg,11,2048
Paris 11e,Oberkampf,Canal Saint Martin par Carsten aus Bonn,https://flic.kr/p/BcULmW,12,4096
Paris 14e,Daguerre,Rue Daguerre par Myrabella,https://commons.wikimedia.org/wiki/File%3AParis_rue_Daguerre.jpg,13,8192
Boulogne,Boulogne,Les jardins d'Albert Kahn par Clément Rousseau Letchimy,https://flic.kr/p/aom5mn,14,16384
Levallois-Perret,Levallois,Square de l'Hotel de Ville par Dude Pascalou,https://flic.kr/p/9ygEA1,15,32768
Issy Les Moulineaux,Issy les Moulineaux,Séminaire Saint Sulpice par Myrabella,https://commons.wikimedia.org/wiki/File%3AIssy_seminaire_Saint-Sulpice_avec_bassin.jpg,16,65536
Montrouge,Montrouge,Le beffroi de Montrouge par Ralf Treinen,https://commons.wikimedia.org/wiki/File%3AMontrouge_beffroi1.jpg,17,131072
Vincennes,Vincennes,Le bois de Vincennes par Stéphane Martin,https://flic.kr/p/5yHMbZ,18,262144
